Name,Description,Image,Products
Fountain Pens,"Meet the real you.
Let your personality flow through the prism of your nib.",https://zyllio.github.io/zyllio-samples/pens/categories/Fountain_pen_300x.avif,"Glossy Light Gray,Brushed Chrome,Glossy PVD Gold,Glossy Blue"
Ballpoint Pens,"Clean lines and to the point!
Our classic ballpoints make it easy to write.
",https://zyllio.github.io/zyllio-samples/pens/categories/RollerBall_300x.avif,"Glossy Light Gray,Brushed Chrome,Glossy Coffee Brown,Satin Blue"
Gift Sets,"Ready, Steady, Gift!
Discover incredible gift sets for all occasions.",https://zyllio.github.io/zyllio-samples/pens/categories/collection_gift_set_2_300x.avif,"Glossy Black 300 9312,Bright Chrome 100,Matte Black 100"
Our Refills,"Refuel and recharge!
Find the perfect refill for your pen.",https://zyllio.github.io/zyllio-samples/pens/categories/Accessories_300x.avif,"Fountain Pen Piston Converter,Rollerball Refill"
