Nom,Fichier
"Haricots verts fins vapeur au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/%E2%80%94%20HARICOTS%20VERTS%20FINS%20VAPEUR%20AU%20THERMOCHEF.mp3"
"Haricots verts normaux vapeur au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/%E2%80%94%20HARICOTS%20VERTS%20NORMAUX%20VAPEUR%20AU%20THERMOCHEF.mp3"
"Mais frais vapeur au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/%E2%80%94%20MAIS%20FRAIS%20VAPEUR%20AU%20THERMOCHEF.mp3"
"Navet ou rutabaga vapeur au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/%E2%80%94%20NAVET%20OU%20RUTABAGA%20VAPEUR%20AU%20THERMOCHEF.mp3"
"Oignon blanc vapeur au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/%E2%80%94%20OIGNON%20BLANC%20VAPEUR%20AU%20THERMOCHEF.mp3"
"Petites pommes de terre vapeur au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/%E2%80%94%20PETITES%20POMMES%20DE%20TERRE%20VAPEUR%20AU%20THERMOCHEF.mp3"
"Petits pois verts vapeur au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/%E2%80%94%20PETITS%20POIS%20VERTS%20VAPEUR%20AU%20THERMOCHEF.mp3"
"Pointes d’asperges vapeur au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/%E2%80%94%20POINTES%20D%E2%80%99ASPERGES%20VAPEUR%20AU%20THERMOCHEF.mp3"
"Poireau vapeur au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/%E2%80%94%20POIREAU%20VAPEUR%20AU%20THERMOCHEF.mp3"
"Poivrons vapeur au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/%E2%80%94%20POIVRONS%20VAPEUR%20AU%20THERMOCHEF.mp3"
"Pommes de terre moyennes vapeur au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/%E2%80%94%20POMMES%20DE%20TERRE%20MOYENNES%20VAPEUR%20AU%20THERMOCHEF.mp3"
"Salsifis vapeur au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/%E2%80%94%20SALSIFIS%20VAPEUR%20AU%20THERMOCHEF.mp3"
"Soja vapeur au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/%E2%80%94%20SOJA%20VAPEUR%20AU%20THERMOCHEF.mp3"
"Tomate vapeur au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/%E2%80%94%20TOMATE%20VAPEUR%20AU%20THERMOCHEF.mp3"
"Topinambours vapeur au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/%E2%80%94%20TOPINAMBOURS%20VAPEUR%20AU%20THERMOCHEF.mp3"
