Nom,Fichier
"One pot linguine aux fruits de mer facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/ONE%20POT%20LINGUINE%20AUX%20FRUITS%20DE%20MER%20FACON%20THERMOCHEF%20%E2%80%94.mp3"
"One pot penne bolognaise facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/ONE%20POT%20PENNE%20BOLOGNAISE%20FACON%20THERMOCHEF%20%E2%80%94.mp3"
"Paella au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/PAELLA%20AU%20THERMOCHEF.mp3"
"Pain aux noix sans petrissage facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/PAIN%20AUX%20NOIX%20SANS%20PETRISSAGE%20FACON%20THERMOCHEF%20%E2%80%94.mp3"
"Pates au jambon, courgettes, champignons et sauce tomate au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/PATES%20AU%20JAMBON%2C%20COURGETTES%2C%20CHAMPIGNONS%20ET%20SAUCE%20TOMATE%20AU%20THERMOCHEF.mp3"
"Pave de merlu, farfalles aux legumes et lait de coco au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/PAVE%20DE%20MERLU%2C%20FARFALLES%20AUX%20LEGUMES%20ET%20LAIT%20DE%20COCO%20AU%20THERMOCHEF.mp3"
"Piperade aux oeufs facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/PIPERADE%20AUX%20%C5%92UFS%20FACON%20THERMOCHEF%20%E2%80%94.mp3"
"Pommes de terre aux merguez et champignons au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/POMMES%20DE%20TERRE%20AUX%20MERGUEZ%20ET%20CHAMPIGNONS%20AU%20THERMOCHEF.mp3"
"Pommes de terre sautees facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/POMMES%20DE%20TERRE%20SAUTEES%20FACON%20THERMOCHEF%20%E2%80%94.mp3"
"Pot-au-feu facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/POT-AU-FEU%20FACON%20THERMOCHEF.mp3"
"Poulet roti au thermochef epice cajun","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/poulet%20roti%20au%20thermochef%20epice%20cajun.mp3"
"Quinoa aux legumes facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/QUINOA%20AUX%20LEGUMES%20FACON%20THERMOCHEF%20%E2%80%94.mp3"
"Ratatouille en deux temps au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/RATATOUILLE%20EN%20DEUX%20TEMPS%20AU%20THERMOCHEF.mp3"
"Ratatouille facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/RATATOUILLE%20FACON%20THERMOCHEF%20%E2%80%94.mp3"
"Riz aux artichauts et citron facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/RIZ%20AUX%20ARTICHAUTS%20ET%20CITRON%20FACON%20THERMOCHEF.mp3"
"Riz aux cepes et parmesan facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/RIZ%20AUX%20CEPES%20ET%20PARMESAN%20FACON%20THERMOCHEF%20%E2%80%94.mp3"
"Riz aux crevettes epicees facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/RIZ%20AUX%20CREVETTES%20EPICEES%20FACON%20THERMOCHEF%20%E2%80%94.mp3"
"Riz aux legumes du soleil facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/RIZ%20AUX%20LEGUMES%20DU%20SOLEIL%20FACON%20THERMOCHEF%20%E2%80%94.mp3"
"Riz thai aux crevettes tout-en-un au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/RIZ%20THAI%20AUX%20CREVETTES%20TOUT-EN-UN%20AU%20THERMOCHEF.mp3"
"Roti de boeuf cuisson a coeur 55 degres au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/roti%20de%20boeuf%20cuisson%20a%20coeur%2055%20degres%20au%20thermochef.mp3"
"Roti de porc cuisson a coeur 68 degres au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/roti%20de%20porc%20cuisson%20a%20coeur%2068%20degres%20au%20thermochef.mp3"
"Roti de veau cuisson a coeur 60 degres au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/roti%20de%20veau%20cuisson%20a%20coeur%2060%20degres%20au%20thermochef.mp3"
"Salade de quinoa aux legumes","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/Salade%20de%20quinoa%20aux%20legumes.mp3"
"Saucisses fumees aux lentilles au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/SAUCISSES%20FUMEES%20AUX%20LENTILLES%20AU%20THERMOCHEF.mp3"
"Soupe d'asperges a la menthe facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/SOUPE%20D%E2%80%99ASPERGES%20A%20LA%20MENTHE%20FACON%20THERMOCHEF.mp3"
"Soupe de champignons aux fines herbes facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/SOUPE%20DE%20CHAMPIGNONS%20AUX%20FINES%20HERBES%20FACON%20THERMOCHEF.mp3"
"Soupe rapide de tomates et basilic facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/SOUPE%20RAPIDE%20DE%20TOMATES%20ET%20BASILIC%20FACON%20THERMOCHEF.mp3"
"Soupe thaie au lait de coco facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/SOUPE%20THAIE%20AU%20LAIT%20DE%20COCO%20FACON%20THERMOCHEF.mp3"
"Tajine d'haricots verts facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/TAJINE%20D%E2%80%99HARICOTS%20VERTS%20FACON%20THERMOCHEF%20%E2%80%94.mp3"
"Tajine de lotte au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/TAJINE%20DE%20LOTTE%20AU%20THERMOCHEF.mp3"
"Tartiflette simple au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/TARTIFLETTE%20SIMPLE%20AU%20THERMOCHEF.mp3"
"Tian de legumes mozzarella facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/TIAN%20DE%20LEGUMES%20MOZZARELLA%20FACON%20THERMOCHEF.mp3"
"Tomates confites et polenta facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/TOMATES%20CONFITES%20ET%20POLENTA%20FACON%20THERMOCHEF%20%E2%80%94.mp3"
"Tomates farcies facon thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/TOMATES%20FARCIES%20FACON%20THERMOCHEF%20%E2%80%94.mp3"
"Veau marengo au thermochef","https://zyllio.github.io/zyllio-samples/recipies/recipies/audio/VEAU%20MARENGO%20AU%20THERMOCHEF.mp3"
