Name,Genre,Synopsis,Picture,Rating,Teaser
Fight Club,Action,"A depressed man (Edward Norton) suffering from insomnia meets a strange soap salesman named Tyler Durden (Brad Pitt) and soon finds himself living in his squalid house after his perfect apartment is destroyed. The two bored men form an underground club with strict rules and fight other men who are fed up with their mundane lives. Their perfect partnership frays when Marla (Helena Bonham Carter), a fellow support group crasher, attracts Tyler's attention.",https://zyllio.github.io/zyllio-samples/movies/fight-club.jpg,1,https://www.youtube.com/watch?v=qtRKdVHc-cE
Asterix & Obelix,Family,"Fortified with a magic potion, two warriors (Christian Clavier, Gérard Depardieu) set out to rescue a druid from Roman captors in 50 B.C.",https://zyllio.github.io/zyllio-samples/movies/asterix.webp,3,https://www.youtube.com/watch?v=8U2WRJEZl70
Fast & Furious 6,Action,"Since Dom (Vin Diesel) and Brian's (Paul Walker) heist in Rio left them and their crew very rich people, they've scattered across the globe; however, they must still live as fugitives, unable to return home to their families. Meanwhile, Agent Hobbs (Dwayne Johnson) has been tracking a gang of lethally skilled mercenary drivers whose second-in-command is someone Dom knows. Unable to take them down himself, Hobbs asks Dom and his crew for help in exchange for full pardons for everyone.",https://zyllio.github.io/zyllio-samples/movies/fast.jpg,4,https://www.youtube.com/watch?v=dKi5XoeTN0k
S.W.A.T.,Action,"Hondo Harrelson (Samuel L. Jackson) recruits Jim Street (Colin Farrell) to join an elite unit of the Los Angeles Police Department. Together they seek out more members, including tough Deke Kay (LL Cool J) and single mom Chris Sanchez (Michelle Rodriguez). The team's first big assignment is to escort crime boss Alex Montel (Olivier Martinez) to prison. It seems routine, but when Montel offers a huge reward to anyone who can break him free, criminals of various stripes step up for the prize.",https://zyllio.github.io/zyllio-samples/movies/swat.jpg,4,https://www.youtube.com/watch?v=7IoGHLXWs28
Full Contact,Action,"Jeff (Chow Yun-Fat), who works as a nightclub bouncer in Bangkok, saves his friend Sam (Wong Chow-Sang) from a beating by the local loan shark. The two team up with Sam's cousin Judge (Simon Yam) to rob an arms shipment, but the loan shark that Jeff ticked off persuades Judge to turn against him.",https://zyllio.github.io/zyllio-samples/movies/full.jpg,2,https://www.youtube.com/watch?v=shpAZ4Tc5K8
300,Adventure,"In 480 B.C. a state of war exists between Persia, led by King Xerxes (Rodrigo Santoro), and Greece. At the Battle of Thermopylae, Leonidas (Gerard Butler), king of the Greek city state of Sparta, leads his badly outnumbered warriors against the massive Persian army. Though certain death awaits the Spartans, their sacrifice inspires all of Greece to unite against their common enemy.",https://zyllio.github.io/zyllio-samples/movies/300.jpg,3,https://www.youtube.com/watch?v=UrIbxk7idYA
